...1,Case Number,Offense,Date Reported,Time Reported,Date Occurred,Time Occurred,Location,Disposition,Disposition Date,Location Address,Current_Column,New_Column,Full_Address,Latitude,Longitude
37,2025001265,Battery,1/24/25,8:53:00,1/24/25,8:53:00,,Neptune West Suspended,1/24/25,0,Neptune West,Suspended,"800 Lucinda Ave, DeKalb, IL 60115, USA",41.9356691,-88.769352
38,2025001363,Battery,1/24/25,9:32:00,1/24/25,9:32:00,,Stevenson North Suspended,1/24/25,0,Stevenson North,Suspended,"1350 Stevenson Dr N, DeKalb, IL 60115, USA",41.9373945,-88.780097
39,2024015140,Theft $500 and Under,11/15/24,6:17:00,11/15/24,6:00:00,,Altgeld Hall Suspended,1/25/25,0,Altgeld Hall,Suspended,"595 College Ave, DeKalb, IL 60115, USA",41.9344302,-88.7640364
40,2024015140,Theft of Lost or Mislaid Property,11/15/24,6:17:00,11/15/24,6:00:00,,Suspended,1/25/25,Unknown,Altgeld Hall,Suspended,"595 College Ave, DeKalb, IL 60115, USA",41.9344302,-88.7640364
41,2025000338,Burglary,1/10/25,8:40:00,1/8/25,7:00:00,,Swen Parson Closed By,1/25/25,0,Swen Parson,Closed By,"230 Normal Rd, DeKalb, IL 60115, USA",41.9343468,-88.7652571
42,2025000338,Theft Over $500,1/10/25,8:40:00,1/8/25,7:00:00,,Closed By,1/25/25,Unknown,Swen Parson,Closed By,"230 Normal Rd, DeKalb, IL 60115, USA",41.9343468,-88.7652571
43,2024013944,Intimidation,10/23/24,15:02:00,10/23/24,15:02:00,,Neptune East Suspended,1/26/25,0,Neptune East,Suspended,"740 Lucinda Ave, DeKalb, IL 60115, USA",41.9349459,-88.76783999999999
44,2025001230,Leaving Scene Property Damage,1/26/25,14:51:00,1/26/25,14:35:00,,Lucinda And Stadium Dr E Open,1/26/25,0,Lucinda Ave & Stadium Dr E,Open,"Lucinda Ave & Stadium Dr E, DeKalb, IL 60115, USA",41.93638079999999,-88.77541839999999
45,2025001230,Leaving Scene of Property Damage Accident,1/26/25,14:51:00,1/26/25,14:35:00,,Open,1/26/25,Unknown,Lucinda Ave & Stadium Dr E,Open,"Lucinda Ave & Stadium Dr E, DeKalb, IL 60115, USA",41.93638079999999,-88.77541839999999
46,2025001232,Disorderly Conduct,1/26/25,19:55:00,1/26/25,19:50:00,,Patterson Hall East Open,1/26/25,0,Patterson Hall East,Open,"501 N Annie Glidden Rd, DeKalb, IL 60115, USA",41.9384848,-88.7740353
47,2025001240,Illegal Consumption Of Alcohol By,1/27/25,0:18:00,1/27/25,0:18:00,,Stevenson North Closed By,1/27/25,0,Stevenson North,Closed By,"1350 Stevenson Dr N, DeKalb, IL 60115, USA",41.9373945,-88.780097
48,2025001240,"Tamper w/Sec, Fire, Life Safety Sys.",1/27/25,0:18:00,1/27/25,0:18:00,,Closed By,1/27/25,Unknown,Stevenson North,Closed By,"1350 Stevenson Dr N, DeKalb, IL 60115, USA",41.9373945,-88.780097
49,2025001240,Illegal Consumption of Alcohol by a Minor,1/27/25,0:18:00,1/27/25,0:18:00,,Closed By,1/27/25,Unknown,Stevenson North,Closed By,"1350 Stevenson Dr N, DeKalb, IL 60115, USA",41.9373945,-88.780097
50,2025001240,Illegal Consumption of Alcohol by a Minor,1/27/25,0:18:00,1/27/25,0:18:00,,Closed By,1/27/25,Unknown,Stevenson North,Closed By,"1350 Stevenson Dr N, DeKalb, IL 60115, USA",41.9373945,-88.780097
51,2025001241,Disorderly Conduct,1/27/25,0:51:00,1/26/25,19:50:00,,Patterson Hall East Open,1/27/25,0,Patterson Hall East,Open,"501 N Annie Glidden Rd, DeKalb, IL 60115, USA",41.9384848,-88.7740353
